"salary_year_avg","job_id","job_title_short","job_location","job_work_from_home","company_name"
"960000.0",177779,"Data Scientist","Madison, SD","","East River Electric Power Cooperative, Inc."
"890000.0",1008448,"Senior Data Scientist","Pretoria, South Africa","","MSP Staffing  LTD"
"585000.0",551617,"Data Scientist","New York, NY","","ReServe"
"550000.0",40145,"Data Scientist","Anywhere",1,"Selby Jennings"
"525000.0",1714768,"Data Scientist","Anywhere",1,"Selby Jennings"
"475000.0",327496,"Senior Data Scientist","Anywhere",1,"Glocomms"
"463500.0",1495652,"Senior Data Scientist","Menlo Park, CA","","WhatsApp"
"450000.0",1300865,"Data Scientist","Los Gatos, CA","","Netflix"
"450000.0",1455311,"Data Scientist","California City, CA","","Netflix"
"425000.0",1023855,"Data Scientist","San Francisco, CA","","Glocomms"
